City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,businga,3.3386,20.8858,310.9,19,100,1.07,CD,1706620277
116,nogliki,51.7992,143.1387,253.31,98,93,2.68,RU,1706620278
117,opuwo,-18.0607,13.84,307.05,26,99,6.12,NA,1706620278
118,price,39.5994,-110.8107,272.74,80,0,2.06,US,1706620279
119,scarborough,11.1823,-60.7353,299.61,75,2,7.54,TT,1706620280
120,lompoc,34.6392,-120.4579,284.59,97,0,2.57,US,1706620281
121,sitia,35.2078,26.1047,284.18,58,81,12.18,GR,1706620282
122,bridgewater,44.3786,-64.5188,267.01,78,49,2.24,CA,1706620283
123,talnakh,69.4865,88.3972,254.93,81,99,5.24,RU,1706620283
124,viligili,0.7591,73.433,301.11,77,24,3.71,MV,1706620284
125,cabo san lucas,22.8909,-109.9124,300.32,41,40,13.89,MX,1706620285
126,guerrero negro,27.9689,-114.0443,289.42,64,5,2.21,MX,1706620286
127,aasiaat,68.7098,-52.8699,244.5,98,99,3.07,GL,1706620287
128,fort st. john,56.2499,-120.8529,278.22,80,100,6.49,CA,1706620288
129,lanxi,29.2159,119.4716,285.97,88,42,0.73,CN,1706620289
130,hermanus,-34.4187,19.2345,296.08,69,3,6.42,ZA,1706620289
131,shouguang,36.88,118.7375,277.73,84,12,3.05,CN,1706620219
132,remire-montjoly,4.9167,-52.2667,301.17,89,100,3.6,GF,1706620291
133,olyokminsk,60.3743,120.4203,236.42,100,39,1.23,RU,1706620292
134,ushuaia,-54.8108,-68.3159,285.26,76,40,1.54,AR,1706620293
135,szydlowiec,51.2282,20.8611,281.86,50,99,3.71,PL,1706620293
136,vorgashor,67.5836,63.794,258.65,95,100,7.66,RU,1706620294
137,rhinelander,45.6366,-89.4121,273.33,86,100,3.59,US,1706620295
138,lombardia,19.1581,-102.0511,292.33,41,100,1.52,MX,1706620296
139,newman,-23.3564,119.7355,308.87,29,65,7.78,AU,1706620297
140,muli,2.9167,73.5667,300.91,79,56,5.71,MV,1706620084
141,pong,19.1493,100.2752,294.27,82,1,2.05,TH,1706620298
142,roccella ionica,38.3212,16.3969,285.45,52,11,7.19,IT,1706620299
143,muroto-misakicho,33.2866,134.1683,284.78,70,99,2.41,JP,1706620300
144,castillos,-34.1987,-53.8592,297.76,50,90,2.61,UY,1706620301
145,bredasdorp,-34.5322,20.0403,299.62,52,74,7.58,ZA,1706620302
146,kurumkan,54.3209,110.3065,246.99,88,19,0.45,RU,1706620302
147,rongelap,11.1635,166.8941,299.18,79,100,8.63,MH,1706620303
148,camacupa,-12.0167,17.4833,300.0,52,32,1.79,AO,1706620304
149,westport,53.8,-9.5167,282.15,67,8,5.44,IE,1706620014
150,nemuro,43.3236,145.575,272.25,64,44,9.22,JP,1706620306
151,we,-20.9169,167.2646,297.92,84,96,2.52,NC,1706620307
152,afaahiti,-17.744,-149.3244,301.07,81,86,1.15,PF,1706620307
153,sinabang,2.4803,96.3801,300.7,80,92,2.24,ID,1706620308
154,kone,-21.0595,164.8658,298.23,80,47,1.2,NC,1706620309
155,buncrana,55.1333,-7.45,281.02,72,6,5.26,IE,1706620310
156,konarka,19.8976,86.1141,297.38,68,16,4.01,IN,1706620311
157,valdivia,-39.8142,-73.2459,292.45,43,0,0.41,CL,1706620052
158,avarua,-21.2075,-159.7755,298.18,100,75,1.03,CK,1706620312
159,nar'yan-mar,67.6387,53.0037,270.98,96,100,9.39,RU,1706620313
160,fray luis beltran,-39.3137,-65.76,302.42,37,100,3.04,AR,1706620314
161,kerikeri,-35.2268,173.9474,291.43,85,7,3.11,NZ,1706620315
162,bansi,27.1775,82.9344,288.85,46,0,1.62,IN,1706620316
163,cidreira,-30.1811,-50.2056,297.77,69,17,4.83,BR,1706620316
164,bangassou,4.7413,22.8184,311.79,15,99,0.9,CF,1706620317
165,college,64.8569,-147.8028,247.33,72,75,0.0,US,1706620048
166,sabang,5.8897,95.3164,301.21,77,30,7.33,ID,1706620319
167,kalabo,-14.9931,22.6793,301.87,49,100,3.52,ZM,1706620320
168,asifabad,19.3585,79.2842,299.39,31,11,1.14,IN,1706620321
169,aktau,50.2347,73.0666,258.95,93,100,1.59,KZ,1706620321
170,inhambane,-23.865,35.3833,303.14,70,40,5.14,MZ,1706620322
171,kalengwa,-13.4659,25.0027,300.72,61,98,1.02,ZM,1706620323
172,fortuna,40.5982,-124.1573,289.07,59,0,5.14,US,1706620324
173,margaret river,-33.955,115.076,289.66,83,0,5.56,AU,1706620325
174,sao joao da barra,-21.6403,-41.0511,304.2,81,87,2.2,BR,1706620326
175,benghazi,32.1149,20.0686,283.88,69,96,0.84,LY,1706620246
176,wailua homesteads,22.0724,-159.3768,294.68,89,100,3.09,US,1706620327
177,albany,-35.0269,117.8837,290.9,87,0,5.2,AU,1706620328
178,mejit,10.2753,170.8646,299.65,77,100,9.34,MH,1706620329
179,vilyuchinsk,52.9311,158.4047,261.3,80,89,4.08,RU,1706620330
180,maintirano,-18.0635,44.0295,302.19,60,0,5.03,MG,1706620331
181,thunder bay,48.382,-89.2502,272.72,86,97,3.55,CA,1706620331
182,port augusta,-32.496,137.7728,293.9,59,0,8.45,AU,1706620332
183,connell,46.6635,-118.8611,273.24,93,100,0.56,US,1706620333
184,sola,-13.8761,167.5517,299.59,86,100,1.92,VU,1706620334
185,mount gambier,-37.8318,140.7792,284.61,88,2,2.26,AU,1706620335
186,kodinsk,58.6063,99.174,244.21,100,16,0.78,RU,1706620336
187,filadelfia,-22.3394,-60.0316,306.41,44,0,2.76,PY,1706620337
188,richards bay,-28.783,32.0377,302.95,60,9,6.51,ZA,1706620338
189,extrema,-9.7714,-66.3558,300.61,79,75,1.43,BR,1706620339
190,bahia honda,22.9033,-83.1599,292.87,58,100,3.57,CU,1706620339
191,kongolo,-5.3853,27.0003,299.77,82,83,3.76,CD,1706620340
192,rosario del tala,-32.3029,-59.1455,304.97,34,5,1.17,AR,1706620341
193,bac lieu,9.2941,105.7278,298.2,82,92,5.3,VN,1706620342
194,gadzhiyevo,69.2551,33.3362,272.51,75,100,12.25,RU,1706620343
195,dudinka,69.4058,86.1778,255.16,92,99,10.23,RU,1706620343
196,wuyishan,27.76,118.0307,284.3,97,14,0.41,CN,1706620345
197,oualidia,32.7337,-9.0306,295.3,37,92,2.69,MA,1706620345
198,juli,-16.2167,-69.45,282.8,71,100,0.93,PE,1706620346
199,kapa'a,22.0752,-159.319,295.33,85,100,3.09,US,1706620347
200,brazzaville,-4.2661,15.2832,304.35,58,20,2.57,CG,1706620348
201,carinhanha,-14.3047,-43.765,301.84,60,53,1.51,BR,1706620349
202,illizi,26.4833,8.4667,292.87,25,0,7.32,DZ,1706620350
203,mata-utu,-13.2816,-176.1745,302.23,81,100,7.38,WF,1706620350
204,tshikapa,-6.4162,20.8,301.28,67,95,0.93,CD,1706620351
205,bonthe,7.5264,-12.505,304.65,54,0,3.98,SL,1706620352
206,susuman,62.7808,148.154,240.94,100,99,0.45,RU,1706620353
207,zapala,-38.8992,-70.0544,297.76,14,10,2.61,AR,1706620354
208,wuxue,29.8506,115.5525,284.54,93,100,0.73,CN,1706620355
209,moengo,5.6141,-54.4012,301.46,65,97,2.59,SR,1706620355
210,arthur's town,24.6224,-75.6715,294.76,60,94,5.96,BS,1706620356
211,luganville,-15.5199,167.1624,300.08,81,100,0.86,VU,1706620357
212,yabassi,4.457,9.9682,313.33,24,56,0.98,CM,1706620358
213,graaff-reinet,-32.2522,24.5308,303.11,42,100,5.91,ZA,1706620359
214,yuxia,34.0615,108.6291,279.1,67,1,0.87,CN,1706620360
215,saynshand,44.8824,110.1163,247.37,96,18,2.01,MN,1706620360
216,ji'an,27.1172,114.9793,285.52,91,93,1.7,CN,1706620361
217,olonkinbyen,70.9221,-8.7187,269.06,90,100,11.5,SJ,1706620362
218,monrovia,6.3005,-10.7969,305.02,64,100,3.5,LR,1706620363
219,vallenar,-28.5762,-70.7594,298.11,58,0,2.47,CL,1706620364
220,tucuma,-0.1833,-50.05,298.32,84,100,2.28,BR,1706620365
221,mogocha,53.7342,119.7652,248.81,98,100,1.42,RU,1706620365
222,tazovsky,67.4715,78.7162,253.8,93,72,7.68,RU,1706620366
223,quesada,37.8434,-3.0656,288.33,38,10,0.62,ES,1706620367
224,oriximina,-1.7656,-55.8661,300.38,74,95,2.84,BR,1706620368
225,bukama,-9.2044,25.8548,299.32,87,98,1.83,CD,1706620369
226,maumere,-8.6199,122.2111,300.29,81,82,2.28,ID,1706620370
227,isla vista,34.4133,-119.861,291.94,68,0,0.0,US,1706620371
228,mankato,44.1591,-94.0092,275.53,94,100,5.14,US,1706620371
229,oviedo,28.67,-81.2081,282.73,89,0,2.06,US,1706620372
230,la cruz,23.9213,-106.8925,293.43,47,64,2.35,MX,1706620373
231,truro,45.3669,-63.2654,266.45,78,32,4.02,CA,1706620000
232,anadyr,64.7342,177.5103,242.13,74,20,4.0,RU,1706620374
233,lihue,21.9812,-159.3721,294.93,86,100,3.09,US,1706620375
234,waingapu,-9.6567,120.2641,300.06,79,66,0.97,ID,1706620376
235,pangkalan brandan,4.0238,98.2782,298.53,85,94,0.56,ID,1706620377
236,magadan,59.5638,150.8035,247.87,83,9,3.14,RU,1706620378
237,belyy yar,58.4447,85.0425,254.94,96,31,2.66,RU,1706620379
238,iskateley,67.6803,53.1512,270.94,96,100,9.39,RU,1706620380
239,tamiahua,21.2788,-97.4462,289.78,75,100,1.02,MX,1706620381
240,tuy hoa,13.0955,109.3209,295.65,90,85,2.45,VN,1706620381
241,vernon,50.0261,-126.3616,278.39,98,80,1.37,CA,1706620382
242,tabuk,28.3998,36.5715,290.18,27,0,0.0,SA,1706620383
243,show low,34.2542,-110.0298,270.31,86,0,0.0,US,1706620384
244,nova vicosa,-17.8919,-39.3719,301.99,67,97,4.97,BR,1706620385
245,port blair,11.6661,92.7464,299.69,77,15,3.16,IN,1706620386
246,nago,26.615,127.9854,294.16,73,100,5.75,JP,1706620386
247,ulladulla,-35.3591,150.4725,292.25,94,65,2.07,AU,1706620387
248,staryy sambir,49.4386,23.0006,278.11,65,38,2.24,UA,1706620388
249,klyuchi,52.253,79.1687,257.75,94,26,3.2,RU,1706620389
250,shushtar,32.0497,48.8484,293.78,30,12,1.3,IR,1706620390
251,bestobe,52.498,73.0959,255.38,97,73,2.79,KZ,1706620390
252,druskininkai,54.0157,23.987,277.33,74,100,3.22,LT,1706620391
253,sumberpucung,-8.1586,112.4829,296.34,96,100,0.84,ID,1706620392
254,georgetown,-7.9286,-14.4119,303.49,58,20,5.14,SH,1706620393
255,broome,-17.9554,122.2392,302.16,74,31,4.12,AU,1706620394
256,reggane,26.7158,0.1714,297.1,21,0,6.96,DZ,1706620395
257,betong,5.7743,101.0723,295.83,96,100,1.31,TH,1706620395
258,port lavaca,28.615,-96.6261,283.74,93,0,0.0,US,1706620396
259,nurota,40.5614,65.6886,273.58,86,99,7.47,UZ,1706620397
260,zhangjiakou,40.81,114.8794,266.03,86,89,2.74,CN,1706620398
261,tazacorte,28.6419,-17.9339,294.53,60,0,2.06,ES,1706620399
262,horodnya,51.8909,31.5974,273.06,87,99,3.42,UA,1706620291
263,akureyri,65.6826,-18.0907,267.32,85,61,5.7,IS,1706620140
264,sept-iles,50.2001,-66.3821,253.18,63,20,2.57,CA,1706620401
265,coquimbo,-29.9533,-71.3395,292.81,83,35,1.38,CL,1706620402
266,twon-brass,4.3123,6.2409,302.0,68,54,5.56,NG,1706620403
267,port lincoln,-34.7263,135.8744,289.39,69,0,7.02,AU,1706620404
268,jamestown,-15.9387,-5.7168,294.94,62,80,1.62,SH,1706620320
269,skovorodino,53.9847,123.9403,242.37,100,82,1.19,RU,1706620405
270,gambela,8.25,34.5833,311.04,23,99,3.67,ET,1706620406
271,hotan,37.1075,79.9355,272.88,50,37,2.44,CN,1706620407
272,izki,22.9333,57.7667,301.33,29,66,3.9,OM,1706620408
273,n'djamena,12.1067,15.0444,306.13,10,0,4.63,TD,1706620408
274,kozova,49.4354,25.1509,274.79,78,23,1.98,UA,1706620144
275,isafjordur,66.0748,-23.135,270.0,86,100,1.54,IS,1706620410
276,papao,-17.75,-149.55,300.97,80,100,1.98,PF,1706620411
277,tanjung selor,2.8375,117.3653,297.74,91,90,1.36,ID,1706620412
278,port saint john's,-31.6229,29.5448,299.14,76,93,5.05,ZA,1706620412
279,ilomantsi,62.6716,30.9328,272.42,90,9,3.48,FI,1706620413
280,thinadhoo,0.5306,72.9997,301.11,77,23,3.74,MV,1706620414
281,ancud,-41.8707,-73.8162,288.34,62,0,1.37,CL,1706620415
282,posto fiscal rolim de moura,-13.0827,-62.2773,303.47,59,77,1.42,BR,1706620416
283,urmary,55.6789,47.944,273.53,88,100,5.89,RU,1706620417
284,walvis bay,-22.9575,14.5053,295.42,50,25,8.2,NA,1706620417
285,saint-philippe,-21.3609,55.7679,299.13,80,35,4.82,RE,1706620418
286,bayganin,48.6897,55.8751,265.64,95,100,4.24,KZ,1706620419
287,zhelezinka,53.5388,75.3133,253.18,100,57,2.66,KZ,1706620420
288,yerofey pavlovich,53.9631,121.9581,246.92,92,100,1.21,RU,1706620421
289,alice springs,-23.6975,133.8836,306.57,20,2,3.6,AU,1706620422
290,lubang,13.8584,120.124,299.23,74,1,10.6,PH,1706620422
291,starobaltachevo,56.0017,55.928,267.34,96,100,5.13,RU,1706620423
292,ndele,8.4109,20.6473,311.14,9,2,2.69,CF,1706620424
293,bargara,-24.8148,152.4626,298.25,99,100,3.68,AU,1706620425
294,petropavlovsk-kamchatsky,53.0444,158.6508,260.48,94,75,4.0,RU,1706620426
295,i-n-salah,27.1935,2.4607,296.52,21,0,10.22,DZ,1706620427
296,west bay,19.3667,-81.4167,296.19,56,75,4.63,KY,1706620427
297,kruisfontein,-34.0033,24.7314,299.2,53,100,5.8,ZA,1706620428
298,al 'alamayn,30.8301,28.955,287.05,47,90,8.91,EG,1706620429
299,boyolangu,-8.1181,111.8935,298.27,91,78,0.45,ID,1706620430
300,rio preto da eva,-2.698,-59.7017,303.02,65,39,2.19,BR,1706620431
301,cockburn town,24.0518,-74.5314,294.94,61,100,5.76,BS,1706620432
302,neryungri,56.6664,124.6383,243.22,98,100,1.9,RU,1706620432
303,makar'yev,57.885,43.8049,273.3,85,13,5.16,RU,1706620433
304,galliano,29.4422,-90.2993,280.93,76,100,1.28,US,1706620434
305,kalmunai,7.409,81.8347,299.42,83,12,3.57,LK,1706620435
306,burutu,5.3533,5.5083,309.3,31,94,3.27,NG,1706620436
307,tommot,58.9572,126.2916,235.09,99,61,0.92,RU,1706620436
308,hoxtolgay,46.5187,86.0021,260.27,89,100,1.03,CN,1706620437
